balancing,balancing,balancing,battery,battery,battery,battery,battery,node,node,node,pv_spain,pv_spain,pv_spain,pv_spain,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,47.5,-95.0,0.0,50.0,50.0,-0.0,0.5,2.5,-32.91337944374272,0.0,0.0,0.0,0.0,0.0,-95.0,-95.0,50.0,50.0,0.0,47.5,50.0,0.0,0.0,2.5
2.5,0.0,-25.0,0.0,0.0,0.0,-0.0,0.0,2.5,-39.23960507316958,0.0,0.0,0.0,0.0,0.0,-25.0,-25.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
2.5,0.0,-25.0,0.0,0.0,0.0,-0.0,0.0,2.5,-25.53548709368051,0.0,0.0,0.0,0.0,0.0,-25.0,-25.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
2.5,0.0,-25.0,0.0,0.0,0.0,-0.0,0.0,2.5,-59.824809923236,0.0,0.0,0.0,0.0,0.0,-25.0,-25.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
2.5,0.0,-25.0,0.0,0.0,0.0,-0.0,0.0,2.5,-7.973485964160614,0.0,0.0,0.0,0.0,0.0,-25.0,-25.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
2.5,0.0,-25.0,0.0,0.0,0.0,-0.0,0.0,2.5,-12.344175991180135,0.0,0.0,0.0,0.0,0.0,-25.0,-25.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
2.5,0.0,-25.0,0.0,0.0,0.0,-0.0,0.0,2.5,-6.271852515159728,0.0,0.0,0.0,0.0,0.0,-25.0,-25.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
2.5,0.0,-25.0,0.0,0.0,0.0,-0.0,0.0,2.5,-33.9908755686652,0.0,0.0,0.0,0.0,0.0,-25.0,-25.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
2.4674576637101544,0.0,-24.674576637101545,0.0,0.0,0.0,-0.0,0.0,2.5,-55.435023913048866,0.0,0.0,0.0325423362898458,0.0325423362898458,0.0,-24.674576637101545,-24.674576637101545,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
2.364345471691777,0.0,-23.64345471691777,0.0,0.0,0.0,-0.0,0.0,2.5,-55.680322947349794,0.0,0.0,0.135654528308223,0.135654528308223,0.0,-23.64345471691777,-23.64345471691777,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
2.231707678927598,0.0,-22.31707678927598,0.0,0.0,0.0,-0.0,0.0,2.5,-58.154283750735765,0.0,0.0,0.268292321072402,0.268292321072402,0.0,-22.31707678927598,-22.31707678927598,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
2.12790269439436,0.0,-21.2790269439436,0.0,0.0,0.0,-0.0,0.0,2.5,-8.305620947876788,0.0,0.0,0.37209730560564,0.37209730560564,0.0,-21.2790269439436,-21.2790269439436,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
2.0718022212696168,0.0,-20.71802221269617,0.0,0.0,0.0,-0.0,0.0,2.5,-3.3298400867402322,0.0,0.0,0.428197778730383,0.428197778730383,0.0,-20.71802221269617,-20.71802221269617,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
2.081853415542664,0.0,-20.81853415542664,0.0,0.0,0.0,-0.0,0.0,2.5,-56.1997766652032,0.0,0.0,0.418146584457336,0.418146584457336,0.0,-20.81853415542664,-20.81853415542664,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
2.112017643052019,0.0,-21.12017643052019,0.0,0.0,0.0,-0.0,0.0,2.5,-14.593621213596801,0.0,0.0,0.387982356947981,0.387982356947981,0.0,-21.12017643052019,-21.12017643052019,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
2.17006373999728,0.0,-21.700637399972802,0.0,0.0,0.0,-0.0,0.0,2.5,-13.672469805324884,0.0,0.0,0.32993626000272,0.32993626000272,0.0,-21.700637399972802,-21.700637399972802,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
2.323577712482584,0.0,-23.235777124825837,0.0,0.0,0.0,-0.0,0.0,2.5,-44.10809465315699,0.0,0.0,0.176422287517416,0.176422287517416,0.0,-23.235777124825837,-23.235777124825837,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
2.5,0.0,-25.0,0.0,0.0,0.0,-0.0,0.0,2.5,-27.40109402216017,0.0,0.0,0.0,0.0,0.0,-25.0,-25.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
2.5,0.0,-25.0,0.0,0.0,0.0,-0.0,0.0,2.5,-32.70938052475366,0.0,0.0,0.0,0.0,0.0,-25.0,-25.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
2.5,0.0,-25.0,0.0,0.0,0.0,-0.0,0.0,2.5,-45.257445487966244,0.0,0.0,0.0,0.0,0.0,-25.0,-25.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
2.5,0.0,-25.0,0.0,0.0,0.0,-0.0,0.0,2.5,-13.195832312150147,0.0,0.0,0.0,0.0,0.0,-25.0,-25.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
2.5,0.0,-25.0,0.0,0.0,0.0,-0.0,0.0,2.5,-34.09782225735759,0.0,0.0,0.0,0.0,0.0,-25.0,-25.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
2.5,0.0,-25.0,0.0,0.0,0.0,-0.0,0.0,2.5,-5.388919175187549,0.0,0.0,0.0,0.0,0.0,-25.0,-25.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
2.5,0.0,-25.0,0.0,0.0,0.0,-0.0,0.0,2.5,-43.02479348517267,0.0,0.0,0.0,0.0,0.0,-25.0,-25.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5
