balancing,balancing,balancing,battery,battery,battery,battery,battery,genset,genset,genset,genset,genset,genset,genset,load,load,load,node,node,node,pv_spain,pv_spain,pv_spain,pv_spain,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_production,current_status,genset_production,goal_status,reward,steps_until_down,steps_until_up,load_current,load_met,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
61.10665041186324,0.0,-611.0665041186325,0.0,50.0,13.594880167751185,-0.0,0.5,0.0,0,0.0,0,-0.0,0,0,-41.7881511358717,41.7881511358717,0.0,32.91337944374272,-32.91337944374272,0.0,0.0,0.0,0.0,0.0,-611.0665041186325,-611.0665041186325,74.70153057961443,74.70153057961443,61.10665041186324,0.0,13.594880167751185,0.0,0.0,74.70153057961443
20.002845337943526,0.0,-200.02845337943526,0.0,36.405119832248815,36.405119832248815,-0.0,0.36405119832248817,0.0,0,0.0,0,-0.0,0,0,-17.168360097022767,17.168360097022767,0.0,39.23960507316958,-39.23960507316958,0.0,0.0,0.0,0.0,0.0,-200.02845337943526,-200.02845337943526,56.40796517019234,56.40796517019234,20.002845337943526,0.0,36.405119832248815,0.0,0.0,56.40796517019234
15.940653507825637,0.0,-159.40653507825635,0.0,0.0,0.0,-0.0,0.0,0.0,1,23.20592079970706,1,-11.60296039985353,0,0,-13.611087213852187,13.611087213852187,0.0,25.53548709368051,-25.53548709368051,0.0,0.0,0.0,0.0,0.0,-171.0094954781099,-171.0094954781099,39.146574307532696,39.146574307532696,15.940653507825637,0.0,23.20592079970706,0.0,0.0,39.146574307532696
54.35355110844937,0.0,-543.5355110844937,0.0,0.0,0.0,-0.0,0.0,0.0,1,38.55014495976011,1,-19.275072479880055,0,0,-33.078886144973474,33.078886144973474,0.0,59.824809923236,-59.824809923236,0.0,0.0,0.0,0.0,0.0,-562.8105835643737,-562.8105835643737,92.90369606820948,92.90369606820948,54.35355110844937,0.0,38.55014495976011,0.0,0.0,92.90369606820948
51.1416241512944,0.0,-511.416241512944,0.0,0.0,0.0,-0.0,0.0,0.0,0,0.0,0,-0.0,0,0,-43.168138187133785,43.168138187133785,0.0,7.973485964160614,-7.973485964160614,0.0,0.0,0.0,0.0,0.0,-511.416241512944,-511.416241512944,51.1416241512944,51.1416241512944,51.1416241512944,0.0,0.0,0.0,0.0,51.1416241512944
24.848106255763344,0.0,-248.48106255763344,0.0,0.0,0.0,-0.0,0.0,0.0,1,12.882457342884447,1,-6.441228671442223,0,0,-25.386387607467658,25.386387607467658,0.0,12.344175991180135,-12.344175991180135,0.0,0.0,0.0,0.0,0.0,-254.92229122907565,-254.92229122907565,37.73056359864779,37.73056359864779,24.848106255763344,0.0,12.882457342884447,0.0,0.0,37.73056359864779
81.98656898752975,0.0,-819.8656898752974,16.868864569293088,0.0,0.0,-0.0,0.0,0.0,0,0.0,0,-0.0,0,0,-58.84585190307693,58.84585190307693,0.0,6.271852515159728,-6.271852515159728,0.0,0.0,0.0,0.0,0.0,-819.8656898752974,-819.8656898752974,81.98656898752975,81.98656898752975,81.98656898752975,0.0,0.0,16.868864569293095,0.0,65.11770441823666
108.75893655121891,0.0,-1087.589365512189,43.67827666746192,16.868864569293088,0.0,-0.0,0.16868864569293088,0.0,1,10.0,1,-5.0,0,0,-41.0897843150918,41.0897843150918,0.0,33.9908755686652,-33.9908755686652,0.0,0.0,0.0,0.0,0.0,-1092.589365512189,-1092.589365512189,118.75893655121891,118.75893655121891,108.75893655121891,0.0,10.0,43.678276667461915,0.0,75.080659883757
24.457741048690917,0.0,-244.57741048690917,0.0,60.54714123675501,23.078684477264062,-0.0,0.6054714123675501,0.0,1,36.7219701398657,1,-18.36098506993285,0,0,-28.855914089061656,28.855914089061656,0.0,55.435023913048866,-55.435023913048866,0.0,0.0,0.0325423362898458,0.0325423362898458,0.0,-262.938395556842,-262.938395556842,84.29093800211052,84.29093800211052,24.490283384980764,0.0,59.80065461712976,0.0,0.0,84.29093800211052
68.44935700920074,0.0,-684.4935700920074,0.0,37.46845675949095,10.62236250148986,-0.0,0.3746845675949095,0.0,0,0.0,0,-0.0,0,0,-23.52705109164903,23.52705109164903,0.0,55.680322947349794,-55.680322947349794,0.0,0.0,0.135654528308223,0.135654528308223,0.0,-684.4935700920074,-684.4935700920074,79.20737403899882,79.20737403899882,68.58501153750896,0.0,10.62236250148986,0.0,0.0,79.20737403899882
112.93397323899316,0.0,-1129.3397323899317,44.45730084027765,26.846094258001088,0.0,-0.0,0.26846094258001085,0.0,1,10.0,1,-5.0,0,0,-20.590680969052165,20.590680969052165,0.0,58.154283750735765,-58.154283750735765,0.0,0.0,0.268292321072402,0.268292321072402,0.0,-1134.3397323899317,-1134.3397323899317,123.20226556006557,123.20226556006557,113.20226556006557,0.0,10.0,44.45730084027764,0.0,78.74496471978793
