balancing,balancing,balancing,battery,battery,battery,battery,battery,load,load,load,node,node,node,pv_spain,pv_spain,pv_spain,pv_spain,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,load_current,load_met,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
314.5423371839768,0.0,-3145.423371839768,22.754186048105097,50.0,0.0,-0.0,0.5,-41.7881511358717,41.7881511358717,0.0,250.0,-32.91337944374272,0.0,0.0,0.0,0.0,0.0,-3145.423371839768,-3145.423371839768,314.5423371839768,314.5423371839768,314.5423371839768,0.0,0.0,22.75418604810511,0.0,291.7881511358717
281.6779536898763,0.0,-2816.7795368987627,14.50959359285352,72.7541860481051,0.0,-0.0,0.727541860481051,-17.168360097022767,17.168360097022767,0.0,250.0,-39.23960507316958,0.0,0.0,0.0,0.0,0.0,-2816.7795368987627,-2816.7795368987627,281.6779536898763,281.6779536898763,281.6779536898763,0.0,0.0,14.509593592853548,0.0,267.16836009702274
219.4153300962763,0.0,-2194.153300962763,0.0,87.26377964095862,44.19575711757591,-0.0,0.8726377964095862,-13.611087213852187,13.611087213852187,0.0,250.0,-25.53548709368051,0.0,0.0,0.0,0.0,0.0,-2194.153300962763,-2194.153300962763,263.6110872138522,263.6110872138522,219.4153300962763,0.0,44.19575711757591,0.0,0.0,263.6110872138522
286.66704454555935,0.0,-2866.6704454555934,3.5881584005858826,43.06802252338271,0.0,-0.0,0.4306802252338271,-33.078886144973474,33.078886144973474,0.0,250.0,-59.824809923236,0.0,0.0,0.0,0.0,0.0,-2866.6704454555934,-2866.6704454555934,286.66704454555935,286.66704454555935,286.66704454555935,0.0,0.0,3.5881584005858826,0.0,283.07888614497347
268.61460764330434,0.0,-2686.146076433043,0.0,46.65618092396859,24.553530543829453,-0.0,0.46656180923968593,-43.168138187133785,43.168138187133785,0.0,250.0,-7.973485964160614,0.0,0.0,0.0,0.0,0.0,-2686.146076433043,-2686.146076433043,293.16813818713376,293.16813818713376,268.61460764330434,0.0,24.553530543829453,0.0,0.0,293.16813818713376
253.28373722732852,0.0,-2532.837372273285,0.0,22.10265038013914,22.10265038013914,-0.0,0.22102650380139138,-25.386387607467658,25.386387607467658,0.0,250.0,-12.344175991180135,0.0,0.0,0.0,0.0,0.0,-2532.837372273285,-2532.837372273285,275.38638760746767,275.38638760746767,253.28373722732852,0.0,22.10265038013914,0.0,0.0,275.38638760746767
338.74214219885374,0.0,-3387.4214219885375,29.89629029577682,0.0,0.0,-0.0,0.0,-58.84585190307693,58.84585190307693,0.0,250.0,-6.271852515159728,0.0,0.0,0.0,0.0,0.0,-3387.4214219885375,-3387.4214219885375,338.74214219885374,338.74214219885374,338.74214219885374,0.0,0.0,29.896290295776794,0.0,308.84585190307695
261.193494019315,0.0,-2611.93494019315,0.0,29.89629029577682,29.89629029577682,-0.0,0.2989629029577682,-41.0897843150918,41.0897843150918,0.0,250.0,-33.9908755686652,0.0,0.0,0.0,0.0,0.0,-2611.93494019315,-2611.93494019315,291.0897843150918,291.0897843150918,261.193494019315,0.0,29.89629029577682,0.0,0.0,291.0897843150918
278.82337175277183,0.0,-2788.2337175277185,0.0,0.0,0.0,-0.0,0.0,-28.855914089061656,28.855914089061656,0.0,250.0,-55.435023913048866,0.0,0.0,0.0325423362898458,0.0325423362898458,0.0,-2788.2337175277185,-2788.2337175277185,278.8559140890617,278.8559140890617,278.8559140890617,0.0,0.0,0.0,0.0,278.8559140890617
273.3913965633408,0.0,-2733.9139656334078,0.0,0.0,0.0,-0.0,0.0,-23.52705109164903,23.52705109164903,0.0,250.0,-55.680322947349794,0.0,0.0,0.135654528308223,0.135654528308223,0.0,-2733.9139656334078,-2733.9139656334078,273.527051091649,273.527051091649,273.527051091649,0.0,0.0,0.0,0.0,273.527051091649
270.3223886479798,0.0,-2703.223886479798,0.0,0.0,0.0,-0.0,0.0,-20.590680969052165,20.590680969052165,0.0,250.0,-58.154283750735765,0.0,0.0,0.268292321072402,0.268292321072402,0.0,-2703.223886479798,-2703.223886479798,270.5906809690522,270.5906809690522,270.5906809690522,0.0,0.0,0.0,0.0,270.5906809690522
337.0491618048988,0.0,-3370.491618048988,43.67827666746192,0.0,0.0,-0.0,0.0,-43.7429824430425,43.7429824430425,0.0,250.0,-8.305620947876788,0.0,0.0,0.37209730560564,0.37209730560564,0.0,-3370.491618048988,-3370.491618048988,337.4212591105044,337.4212591105044,337.4212591105044,0.0,0.0,43.678276667461944,0.0,293.7429824430425
