balancing,balancing,balancing,battery,battery,battery,battery,battery,node,node,node,pv_spain,pv_spain,pv_spain,pv_spain,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
277.19617932351275,0.0,-2771.9617932351275,27.196179323512737,50.0,0.0,-0.0,0.5,250.0,-32.91337944374272,0.0,0.0,0.0,0.0,0.0,-2771.9617932351275,-2771.9617932351275,277.19617932351275,277.19617932351275,277.19617932351275,0.0,0.0,27.19617932351275,0.0,250.0
272.7541860481051,0.0,-2727.541860481051,22.754186048105097,77.19617932351274,0.0,-0.0,0.7719617932351274,250.0,-39.23960507316958,0.0,0.0,0.0,0.0,0.0,-2727.541860481051,-2727.541860481051,272.7541860481051,272.7541860481051,272.7541860481051,0.0,0.0,22.75418604810511,0.0,250.0
236.40511983224883,0.0,-2364.0511983224883,0.0,99.95036537161783,13.594880167751185,-0.0,0.9995036537161783,250.0,-25.53548709368051,0.0,0.0,0.0,0.0,0.0,-2364.0511983224883,-2364.0511983224883,250.0,250.0,236.40511983224883,0.0,13.594880167751185,0.0,0.0,250.0
263.64451479613336,0.0,-2636.4451479613335,13.64451479613335,86.35548520386665,0.0,-0.0,0.8635548520386664,250.0,-59.824809923236,0.0,0.0,0.0,0.0,0.0,-2636.4451479613335,-2636.4451479613335,263.64451479613336,263.64451479613336,263.64451479613336,0.0,0.0,13.644514796133365,0.0,250.0
211.88257580135058,0.0,-2118.825758013506,0.0,100.0,38.11742419864942,-0.0,1.0,250.0,-7.973485964160614,0.0,0.0,0.0,0.0,0.0,-2118.825758013506,-2118.825758013506,250.0,250.0,211.88257580135058,0.0,38.11742419864942,0.0,0.0,250.0
205.8042428824241,0.0,-2058.042428824241,0.0,61.88257580135058,44.19575711757591,-0.0,0.6188257580135058,250.0,-12.344175991180135,0.0,0.0,0.0,0.0,0.0,-2058.042428824241,-2058.042428824241,250.0,250.0,205.8042428824241,0.0,44.19575711757591,0.0,0.0,250.0
232.31318131622533,0.0,-2323.1318131622534,0.0,17.686818683774675,17.686818683774675,-0.0,0.17686818683774674,250.0,-6.271852515159728,0.0,0.0,0.0,0.0,0.0,-2323.1318131622534,-2323.1318131622534,250.0,250.0,232.31318131622533,0.0,17.686818683774675,0.0,0.0,250.0
253.58815840058588,0.0,-2535.8815840058587,3.5881584005858826,0.0,0.0,-0.0,0.0,250.0,-33.9908755686652,0.0,0.0,0.0,0.0,0.0,-2535.8815840058587,-2535.8815840058587,253.58815840058588,253.58815840058588,253.58815840058588,0.0,0.0,3.5881584005858826,0.0,250.0
246.37929926312427,0.0,-2463.7929926312427,0.0,3.5881584005858826,3.5881584005858826,-0.0,0.03588158400585883,250.0,-55.435023913048866,0.0,0.0,0.0325423362898458,0.0325423362898458,0.0,-2463.7929926312427,-2463.7929926312427,250.0,250.0,246.41184159941412,0.0,3.5881584005858826,0.0,0.0,250.0
249.86434547169176,0.0,-2498.6434547169174,0.0,0.0,0.0,-0.0,0.0,250.0,-55.680322947349794,0.0,0.0,0.135654528308223,0.135654528308223,0.0,-2498.6434547169174,-2498.6434547169174,250.0,250.0,250.0,0.0,0.0,0.0,0.0,250.0
249.7317076789276,0.0,-2497.317076789276,0.0,0.0,0.0,-0.0,0.0,250.0,-58.154283750735765,0.0,0.0,0.268292321072402,0.268292321072402,0.0,-2497.317076789276,-2497.317076789276,250.0,250.0,250.0,0.0,0.0,0.0,0.0,250.0
249.62790269439435,0.0,-2496.2790269439433,0.0,0.0,0.0,-0.0,0.0,250.0,-8.305620947876788,0.0,0.0,0.37209730560564,0.37209730560564,0.0,-2496.2790269439433,-2496.2790269439433,250.0,250.0,250.0,0.0,0.0,0.0,0.0,250.0
291.73453266636585,0.0,-2917.3453266636584,42.162730445096244,0.0,0.0,-0.0,0.0,250.0,-3.3298400867402322,0.0,0.0,0.428197778730383,0.428197778730383,0.0,-2917.3453266636584,-2917.3453266636584,292.16273044509626,292.16273044509626,292.16273044509626,0.0,0.0,42.16273044509626,0.0,250.0
279.47814371131943,0.0,-2794.7814371131944,29.89629029577682,42.162730445096244,0.0,-0.0,0.4216273044509624,250.0,-56.1997766652032,0.0,0.0,0.418146584457336,0.418146584457336,0.0,-2794.7814371131944,-2794.7814371131944,279.8962902957768,279.8962902957768,279.8962902957768,0.0,0.0,29.896290295776794,0.0,250.0
219.90570189895894,0.0,-2199.0570189895893,0.0,72.05902074087307,29.706315744093075,-0.0,0.7205902074087307,250.0,-14.593621213596801,0.0,0.0,0.387982356947981,0.387982356947981,0.0,-2199.0570189895893,-2199.0570189895893,250.0,250.0,220.29368425590692,0.0,29.706315744093075,0.0,0.0,250.0
215.22465977678442,0.0,-2152.2465977678444,0.0,42.35270499677999,34.445403963212854,-0.0,0.4235270499677999,250.0,-13.672469805324884,0.0,0.0,0.32993626000272,0.32993626000272,0.0,-2152.2465977678444,-2152.2465977678444,250.0,250.0,215.55459603678713,0.0,34.445403963212854,0.0,0.0,250.0
274.0586630267137,0.0,-2740.586630267137,24.235085314231107,7.907301033567137,0.0,-0.0,0.07907301033567136,250.0,-44.10809465315699,0.0,0.0,0.176422287517416,0.176422287517416,0.0,-2740.586630267137,-2740.586630267137,274.2350853142311,274.2350853142311,274.2350853142311,0.0,0.0,24.235085314231128,0.0,250.0
217.85761365220176,0.0,-2178.576136522018,0.0,32.142386347798244,32.142386347798244,-0.0,0.32142386347798246,250.0,-27.40109402216017,0.0,0.0,0.0,0.0,0.0,-2178.576136522018,-2178.576136522018,250.0,250.0,217.85761365220176,0.0,32.142386347798244,0.0,0.0,250.0
286.89507355753244,0.0,-2868.9507355753244,36.89507355753246,0.0,0.0,-0.0,0.0,250.0,-32.70938052475366,0.0,0.0,0.0,0.0,0.0,-2868.9507355753244,-2868.9507355753244,286.89507355753244,286.89507355753244,286.89507355753244,0.0,0.0,36.89507355753244,0.0,250.0
241.355294753789,0.0,-2413.55294753789,0.0,36.89507355753246,8.64470524621099,-0.0,0.36895073557532465,250.0,-45.257445487966244,0.0,0.0,0.0,0.0,0.0,-2413.55294753789,-2413.55294753789,250.0,250.0,241.355294753789,0.0,8.64470524621099,0.0,0.0,250.0
266.86886456929307,0.0,-2668.6886456929305,16.868864569293088,28.250368311321473,0.0,-0.0,0.2825036831132147,250.0,-13.195832312150147,0.0,0.0,0.0,0.0,0.0,-2668.6886456929305,-2668.6886456929305,266.86886456929307,266.86886456929307,266.86886456929307,0.0,0.0,16.868864569293066,0.0,250.0
221.1813274668088,0.0,-2211.813274668088,0.0,45.11923288061456,28.81867253319122,-0.0,0.4511923288061456,250.0,-34.09782225735759,0.0,0.0,0.0,0.0,0.0,-2211.813274668088,-2211.813274668088,250.0,250.0,221.1813274668088,0.0,28.81867253319122,0.0,0.0,250.0
294.96597120364817,0.0,-2949.659712036482,44.965971203648145,16.300560347423342,0.0,-0.0,0.16300560347423343,250.0,-5.388919175187549,0.0,0.0,0.0,0.0,0.0,-2949.659712036482,-2949.659712036482,294.96597120364817,294.96597120364817,294.96597120364817,0.0,0.0,44.96597120364817,0.0,250.0
288.73346844892853,0.0,-2887.3346844892853,38.73346844892851,61.26653155107149,0.0,-0.0,0.6126653155107149,250.0,-43.02479348517267,0.0,0.0,0.0,0.0,0.0,-2887.3346844892853,-2887.3346844892853,288.73346844892853,288.73346844892853,288.73346844892853,0.0,0.0,38.733468448928534,0.0,250.0
